#Title	Platform	Format/Region	Language	ReleaseID	ReleaseType	FileName	BuildDate	FileSize	BigFileType	SHA256Hash
Akuji: the Heartless	PlayStation	NTSC	English	SLUS_00715	Release		1998-11-05	42952704	Akuji	B20D75AD2119ED9325ACA5513754E7ABB9D990609E74C6505AFA23F99C71FC79
Akuji: the Heartless	PlayStation	NTSC	English		Demo		1998-11-09	1593344	Akuji	A4C7A784BAB88AB842009F00D930DE87767C8DC52D28585F41563D51681F76AB
Blood Omen 2	PC		English		Release	hc_weapons		342184	MadDashRacingBigFile	A0FB69D7CD5AE7F52DD6B37FE49B8E58C7F31AEA21DF3FCB0832175FD82572A4
Blood Omen 2	PC		English		Release	precode		350636	MadDashRacingBigFile	01B5139B5602E94E425CADC5BDCF9464C0888063B33992464FCE9976B93270B1
Blood Omen 2	PC		English		Release	lcsky		389896	MadDashRacingBigFile	EE017F5E7924B6DE3A9378C3D5141CA76D3E1FD9895AF9CBA4F82488C29A66FA
Blood Omen 2	PC		English		Release	cysky		455864	MadDashRacingBigFile	2F3C7C035279D96F1AD846B8FFF8D8753E8CC2D09D4DFC32F36FFDB888F5D4B7
Blood Omen 2	PC		English		Release	mainsky		511016	MadDashRacingBigFile	92A07433C848D00EA9E0580E4EB8267AF51C97A9B99E45BAF0CC10EC97DBF852
Blood Omen 2	PC		English		Release	ep_fakeisle		575128	MadDashRacingBigFile	5495B8551B00141F9AEAFDC14EDD8E5BB2486C2DD63543D9507AE8335022E22F
Blood Omen 2	PC		English		Release	hc_04f		673464	MadDashRacingBigFile	E7D60AD115864F4B942341A323D28CD4E659777772B2903348538610E9B1054A
Blood Omen 2	PC		English		Release	skies		775256	MadDashRacingBigFile	CB859AA4E1596E84C0979BB1934A0CBEC315BC8E65E2F87795C3302295E4E68B
Blood Omen 2	PC		English		Release	keep_load		879560	MadDashRacingBigFile	AF06B0BFAF88F33892A18BC17242C814A591D18C704E38D8A2F1A8038B2A1C20
Blood Omen 2	PC		English		Release	slums_load		879560	MadDashRacingBigFile	68A86EDC2EFE394066D2BA03E1D741419E3E43760B00F0A2273E8DC883D02557
Blood Omen 2	PC		English		Release	canyons_load		879576	MadDashRacingBigFile	79E2A5EA1B20A300059C91BB2C01ACFFE8827EBCAC0ACEDC0488222019379C82
Blood Omen 2	PC		English		Release	device_load		879576	MadDashRacingBigFile	8A64039BE59F78F6DF3DCD6613B7783F4C6115E7A9E1EAFD845BCA37EA888CF2
Blood Omen 2	PC		English		Release	hylden_load		879576	MadDashRacingBigFile	35F2DAB38EC2286B5D3F8BC5D55BE73F9E7F85616F8A0F7E31223684C68F55B9
Blood Omen 2	PC		English		Release	smugden_load		879576	MadDashRacingBigFile	01393F47092F966CBFBA234E1EF1BB44B9B42A4ABCE0336AF942B733C0B3FA87
Blood Omen 2	PC		English		Release	wharves_load		879576	MadDashRacingBigFile	06F417C3FCEDA08C164A5D87A1DE931DA922906DA936E2FFE6B0709A0EA644A1
Blood Omen 2	PC		English		Release	industrial_load		879592	MadDashRacingBigFile	82E7523D1A8D458DFA3BB85E17CED72B58E19D9C9517EC6D90F0A3B934136FC1
Blood Omen 2	PC		English		Release	lowercity_load		879592	MadDashRacingBigFile	F9D2A92EA06212B1511CB57B95A70782EE7185DA12D11111C1CE5DE23E9CEB42
Blood Omen 2	PC		English		Release	uppercity_load		879592	MadDashRacingBigFile	BA5AAAF12269C3C5A670790A53639E71A130E966533D4E5464543F55D05CB8F3
Blood Omen 2	PC		English		Release	eternalprison_load		879608	MadDashRacingBigFile	285D648241F3BE54FBD38A37D5D08867EF1E9646D0D3D64047AA2A7EB196F241
Blood Omen 2	PC		English		Release	uc02b2		1154184	MadDashRacingBigFile	8E00BF0E1FB9C3310C4A02BF291BE982707366F6E303ADD31CFE846932240850
Blood Omen 2	PC		English		Release	hc_04e		1168600	MadDashRacingBigFile	AC8E86BD8B26CE1C5DFAC35ADA0DBF98D62DF49B19F78422E4759EE25E7DA755
Blood Omen 2	PC		English		Release	sd_music		1271912	MadDashRacingBigFile	9DF0DE132F977064120744E1CE195DD4C693E565B3CF1F2373E5C1FBC70C0498
Blood Omen 2	PC		English		Release	sl_music		1303800	MadDashRacingBigFile	DDBDD46F6104F3F7E69AEED4FF8C9C6C64DCC854595C114602527E7B82FA8945
Blood Omen 2	PC		English		Release	lc_music		1311080	MadDashRacingBigFile	5C6E607E90A26B351EB8F33BB465E42B2AC74737C20B2D0C7FAB62E84FB7C186
Blood Omen 2	PC		English		Release	cy_music		1341096	MadDashRacingBigFile	B705ECFDE589F346940791F17BC3678306EF61919A6C63BBD13A5E8FCF81448D
Blood Omen 2	PC		English		Release	iq_music		1349176	MadDashRacingBigFile	7A2DECDDF26D94226BABA7E59EFFBE80DF058265521C83975D61774908D41D25
Blood Omen 2	PC		English		Release	ep_music		1366120	MadDashRacingBigFile	D18320BA26561E6022B7E62DE6FAD4EA5971CB0FF36439902D1795466598BED3
Blood Omen 2	PC		English		Release	code		1414772	MadDashRacingBigFile	1A1BD2F9AF5E4AAFA93EFE21E08BBA516E78BA591BB5EEFCD13464D6DA57DEE7
Blood Omen 2	PC		English		Release	dv_music		1496808	MadDashRacingBigFile	32061E68CC5017729067D5F1442860479939A3823B3AECB772EC638A8899483D
Blood Omen 2	PC		English		Release	hc_music		1562728	MadDashRacingBigFile	07657A8B2B45C36DD2DD1CB817B489F48EB45F4F4A23B5FB2AFC262996CF7EE6
Blood Omen 2	PC		English		Release	mainmenu		1663200	MadDashRacingBigFile	D2792265F0378521B54DA967842F2A3E50710FFD1512AE7714E85CC676AF072F
Blood Omen 2	PC		English		Release	whsky		1736408	MadDashRacingBigFile	65E7B20DDEF833DC431D17364D774F7CA0FC755CC7B92025847EFD54526BCE5F
Blood Omen 2	PC		English		Release	sanctuary_keep		1816920	MadDashRacingBigFile	838A25ECDF755E2DD186E4E6A4A9506FB24C66102F851661086778A41280FC3F
Blood Omen 2	PC		English		Release	sk_music		1860456	MadDashRacingBigFile	B2C17E664FE29C504EAEC4F3F1379BE00B187B4CB1E1AD8EFC89587504EE6FB9
Blood Omen 2	PC		English		Release	uc_music		1927032	MadDashRacingBigFile	A20F20B0D02489C9852C55C5F248E12BE8FB345E0171133A526588D11D2FE7D2
Blood Omen 2	PC		English		Release	whweapons		2271576	MadDashRacingBigFile	C1D88FC3C955CAA0188B70167C1F2C76039F9CB21AD186045D2326EEB3B81806
Blood Omen 2	PC		English		Release	after_iq		2295816	MadDashRacingBigFile	BB6550D6DEFC9DE5702F8F5AA29C31D208821B19A91DF3DED9B852394714E06F
Blood Omen 2	PC		English		Release	smweapons		2311768	MadDashRacingBigFile	F5F3F241D5C96D46D715F4AAC4E0F675F149C738B874465B16FB029C9CE6C7EB
Blood Omen 2	PC		English		Release	kaintakesumahtosanctuary		2376392	MadDashRacingBigFile	24C6B1F9DEF01CA322D0F02435E1EF991E8827458C5C08D857921772EFBD6109
Blood Omen 2	PC		English		Release	hubworld		2626008	MadDashRacingBigFile	25679FC21D98F79FABC7C0790C252FB84BA843DA1A153960E058A99AAB99C314
Blood Omen 2	PC		English		Release	kainmeetsvorador		2658232	MadDashRacingBigFile	A5090FDE201CEBB20E5959A0AC801E581B36E5D198FCCF5129FEF82FB39E1D30
Blood Omen 2	PC		English		Release	weapons		2679752	MadDashRacingBigFile	2F952F04D37EBD5BDA4F9A88D14726E5C8822331F536F9FF363848F7B1F5474A
Blood Omen 2	PC		English		Release	wh04		3216840	MadDashRacingBigFile	31239310B6B4F8364DE53E06923DE5A6DE234F1B392991EAAF707DE3716E42F8
Blood Omen 2	PC		English		Release	sanctuary		3726904	MadDashRacingBigFile	3E5AFFA600EB5F21573ABBA689F4FDEA061900E54114F8D1DD0A0BDE40D8D0CD
Blood Omen 2	PC		English		Release	cy04a1		3868268	MadDashRacingBigFile	FADFD90409D5DCF285AC1734D131ED4FEFD5E077AC1F43D5C0A86DCF2C7B3295
Blood Omen 2	PC		English		Release	hc_05g		3927972	MadDashRacingBigFile	58D551C6567DEDD6C3B217F962E6F04918361724E4A657EA4D3AAA4759B60361
Blood Omen 2	PC		English		Release	hc_05b		4338072	MadDashRacingBigFile	9579CB26A49F9FF9A8C82698B8182DCF709F5F82D196006E27B9B860134CF4A6
