176CC437	\gex3d\game\psx\gex.arg
1975B2D5	\gex3d\object\gex\gex.drm
1B7F62A4	\gex3d\game\psx\loading.tim
1B7FA003	\gex3d\game\psx\bin\map.bin
1B80E3EA	\gex3d\game\psx\warning.tim
1B8182F8	\gex3d\game\psx\bin\spy.bin
1C854927	\gex3d\game\psx\bin\junk.bin
1C857BB6	\gex3d\game\psx\bin\nypd.bin
1C85E93A	\gex3d\game\psx\bin\lost.bin
1D886E5A	\gex3d\game\psx\bin\final.bin
1D88AF4B	\gex3d\game\psx\bin\scifi.bin
1D893FA9	\gex3d\game\psx\bin\aztec.bin
1D89AEFF	\gex3d\game\psx\bin\train.bin
1D89AF60	\gex3d\sounds\voice\voice.dat
1D8ACE78	\gex3d\game\psx\bin\rezop.bin
1E8B400C	\gex3d\level\map\map5\map5.drm
1E8B609C	\gex3d\level\map\map5\map5.snd
1E8B8016	\gex3d\level\map\map7\map7.drm
1E8BA01D	\gex3d\level\map\map8\map8.drm
1E8BA086	\gex3d\level\map\map7\map7.snd
1E8BC08D	\gex3d\level\map\map8\map8.snd
1E8C1EDC	\gex3d\level\map\map5\map5.smp
1E8C5EC6	\gex3d\level\map\map7\map7.smp
1E8C6E32	\gex3d\level\map\map5\map5.vrm
1E8C7ECD	\gex3d\level\map\map8\map8.smp
1E8C9B3A	\gex3d\game\psx\bin\cinema.bin
1E8CAE28	\gex3d\level\map\map7\map7.vrm
1E8CCE23	\gex3d\level\map\map8\map8.vrm
1E8D4A07	\gex3d\game\psx\bin\gillig.bin
1E8EA8D5	\gex3d\sounds\voice\voicep.dat
1E8EC730	\gex3d\game\psx\bin\kungfu.bin
1E8EF40A	\gex3d\game\psx\bin\gexzil.bin
1E8F268D	\gex3d\game\psx\bin\prehst.bin
1E8F2697	\gex3d\game\psx\bin\looney.bin
1E8F7550	\gex3d\game\psx\bin\mooshu.bin
1E8F86FE	\gex3d\game\psx\bin\horror.bin
1E9089FC	\gex3d\level\spy\spy2\spy2.drm
1E90A96C	\gex3d\level\spy\spy2\spy2.snd
1E91572C	\gex3d\level\spy\spy2\spy2.smp
1E91A7C2	\gex3d\level\spy\spy2\spy2.vrm
1F92A318	\gex3d\game\psx\bin\credits.bin
1F92FC77	\gex3d\game\psx\bin\circuit.bin
219BA3E1	\gex3d\level\junk\junk1\junk1.drm
219BCC1F	\gex3d\level\junk\junk1\junk1.snd
219C7EBE	\gex3d\level\junk\junk1\junk1.smp
219CCE0D	\gex3d\level\junk\junk1\junk1.vrm
23A23119	\gex3d\level\nypd\nypd01\nypd01.drm
23A25057	\gex3d\level\nypd\nypd01\nypd01.snd
23A3001C	\gex3d\level\nypd\nypd01\nypd01.smp
23A35359	\gex3d\level\nypd\nypd01\nypd01.vrm
23A38FF3	\gex3d\level\lost\lost01\lost01.drm
23A3AEBD	\gex3d\level\lost\lost01\lost01.snd
23A45EF6	\gex3d\level\lost\lost01\lost01.smp
23A4ADB3	\gex3d\level\lost\lost01\lost01.vrm
24AC27C5	\gex3d\level\rezop\rezop1\rezop1.drm
24AC440C	\gex3d\level\rezop\rezop2\rezop2.drm
24AC46C1	\gex3d\level\rezop\rezop1\rezop1.snd
24AC6457	\gex3d\level\rezop\rezop3\rezop3.drm
24AC6508	\gex3d\level\rezop\rezop2\rezop2.snd
24AC8553	\gex3d\level\rezop\rezop3\rezop3.snd
24ACF51B	\gex3d\level\rezop\rezop1\rezop1.smp
24AD16D2	\gex3d\level\rezop\rezop2\rezop2.smp
24AD3689	\gex3d\level\rezop\rezop3\rezop3.smp
24AD4417	\gex3d\level\rezop\rezop1\rezop1.vrm
24AD67DE	\gex3d\level\rezop\rezop2\rezop2.vrm
24AD8785	\gex3d\level\rezop\rezop3\rezop3.vrm
26AB0296	\gex3d\level\final\final01\final01.drm
26AB2306	\gex3d\level\final\final01\final01.snd
26AB2392	\gex3d\level\scifi\scifi10\scifi10.dat
26ABC63B	\gex3d\level\scifi\scifi10\scifi10.drm
26ABD16E	\gex3d\level\final\final01\final01.smp
26ABE7AB	\gex3d\level\scifi\scifi10\scifi10.snd
26AC2018	\gex3d\level\final\final01\final01.vrm
26AC471B	\gex3d\level\scifi\scifi14\scifi14.drm
26AC668B	\gex3d\level\scifi\scifi14\scifi14.snd
26AC95C3	\gex3d\level\scifi\scifi10\scifi10.smp
