# Title	Platform	Format/Region	Language	ReleaseID	ReleaseType	FileName	BuildDate	FileSize	BigFileType	SHA256Hash
Akuji: the Heartless	PlayStation	NTSC	English	SLUS_00715	Release		1998-11-05	42952704	Akuji	B20D75AD2119ED9325ACA5513754E7ABB9D990609E74C6505AFA23F99C71FC79
Akuji: the Heartless	PlayStation	NTSC	English		Demo		1998-11-09	1593344	Akuji	A4C7A784BAB88AB842009F00D930DE87767C8DC52D28585F41563D51681F76AB
Blood Omen 2	GameCube	NTSC	English		Release	after_iq		805472	BloodOmen2BigFileGameCube	3A6DAB563E228E3FA4F6E6162F4391CB928CDC0D4F41BB3F73FC66B8FEF5198C
Blood Omen 2	GameCube	NTSC	English		Release	canyons_load		135968	BloodOmen2BigFileGameCube	CFB8FFF0F1CE39FD9900FDCDCF37A808B3492FB950DCB332C54067709B48EC56
Blood Omen 2	GameCube	NTSC	English		Release	code		392096	BloodOmen2BigFileGameCube	668FB874E52D4C61E9BE8CD7A7C9E351BAA0DD81367549861933877981FCB09D
Blood Omen 2	GameCube	NTSC	English		Release	cvarena		4882400	BloodOmen2BigFileGameCube	BD589076B2C60187CFB261D864B8EC73498FF05DE1281B72145A48BCB552B9E9
Blood Omen 2	GameCube	NTSC	English		Release	cy_music		428672	BloodOmen2BigFileGameCube	85EEAD8A3F26E3FF9DDB1B89E420784234450405D91D73B81DB2A11F5886C118
Blood Omen 2	GameCube	NTSC	English		Release	cy01		6659008	BloodOmen2BigFileGameCube	C349F82F08592ECD08900A9454EF44F24B42A156B5156C108384B55E67A39A04
Blood Omen 2	GameCube	NTSC	English		Release	cy01a		4354816	BloodOmen2BigFileGameCube	314E8515D1B6BDFF120BBEF680ECDC0A65748A998792FF5FE247BAEDFF33EB27
Blood Omen 2	GameCube	NTSC	English		Release	cy02		3705920	BloodOmen2BigFileGameCube	815677CE666BC3C9A6F0E4AAC3F7EB0A4DCE412B6CF4FB9A72A142790FCE70DD
Blood Omen 2	GameCube	NTSC	English		Release	cy02a		4646816	BloodOmen2BigFileGameCube	C46051F5090CACCA2DC898A0742F213ED7638D9E5A5F6129A23403BAED9AC700
Blood Omen 2	GameCube	NTSC	English		Release	cy03		4260480	BloodOmen2BigFileGameCube	0C3DC199ED92BEC8CB4CA004816716025879A77307D0B942E6A8DDEDA1D92A30
Blood Omen 2	GameCube	NTSC	English		Release	cy04		4965568	BloodOmen2BigFileGameCube	724AB9ACB48FF12C55889E6CAB2A09066CB9405AF407FDFD46C247E0CFD9C39A
Blood Omen 2	GameCube	NTSC	English		Release	cy04a		3337408	BloodOmen2BigFileGameCube	F76F38BF0169AC215BA33FD03334431B1B0C356FF05B14544356E515DE0A0DE0
Blood Omen 2	GameCube	NTSC	English		Release	cy04a1		1666272	BloodOmen2BigFileGameCube	6483BE080B6ECD57CD8C9737A8B6B316D13FDDE39F0632D410C6020343C1A924
Blood Omen 2	GameCube	NTSC	English		Release	cy04b		4366816	BloodOmen2BigFileGameCube	901659633455851AEDA156FAEEFCFF39951EC14EE45410B46F3B07F60E5860FA
Blood Omen 2	GameCube	NTSC	English		Release	cy05		4525824	BloodOmen2BigFileGameCube	AF4BF61E51349DE5A33E549B1A2AE4A7B677D022C299CE4E343FB719207212BC
Blood Omen 2	GameCube	NTSC	English		Release	cy06		5885152	BloodOmen2BigFileGameCube	1BA4FC741B52637B3731DACADFEB79080F2375F2818E6EC198F984A3F3B7C190
Blood Omen 2	GameCube	NTSC	English		Release	cy07		3360288	BloodOmen2BigFileGameCube	52A24A918E089C11EB42A8F9D857B106567227214D725B2BB6CEE1B13B8EBE86
Blood Omen 2	GameCube	NTSC	English		Release	cydv		4952192	BloodOmen2BigFileGameCube	C3FCB90DB2ED4C52783FD2E29336E1727E3D1314E0723AAADF9E104189B66810
Blood Omen 2	GameCube	NTSC	English		Release	cysky		151456	BloodOmen2BigFileGameCube	90487FFED11A5F18F9145B57923AE8D736393A11E23DE1DAD7BD61575CBF462A
Blood Omen 2	GameCube	NTSC	English		Release	device_load		124224	BloodOmen2BigFileGameCube	87FB31D560AD0958470721B3C77D2D5303BA24439472E518F1DB6EF4F596F766
Blood Omen 2	GameCube	NTSC	English		Release	devicesanctuary		2829184	BloodOmen2BigFileGameCube	0DD8E94415F6DFF207A83E0EB632650ED8399A17E20B8DBE518611C3CCE5836E
Blood Omen 2	GameCube	NTSC	English		Release	dv_music		479456	BloodOmen2BigFileGameCube	A0CAFFDE83C5FE593F1AF748BDE957E9E69395DC29E6A627934542317F19DBAA
Blood Omen 2	GameCube	NTSC	English		Release	dv01		2729856	BloodOmen2BigFileGameCube	1C50C38B673396814D7AE914965E63095CFF939011B57D5467B58D74A6F853B0
Blood Omen 2	GameCube	NTSC	English		Release	dv02		4010688	BloodOmen2BigFileGameCube	9CE0B350279B49736F0D1C67B8509636B63252C9BBB806D324A0DA72C577FB0B
Blood Omen 2	GameCube	NTSC	English		Release	dv03		5629376	BloodOmen2BigFileGameCube	6C237A8EAEB83EBECE123A1FEE65D89ABED8D562F68194ADCE3B56366B1AC660
Blood Omen 2	GameCube	NTSC	English		Release	dv04		4764576	BloodOmen2BigFileGameCube	FA4D4D5F973E9CE9D19FA0ABCD8B3364697BA8440E269F975EF6E462899C4F45
Blood Omen 2	GameCube	NTSC	English		Release	dv05		4881152	BloodOmen2BigFileGameCube	51E7904B2ED30E2A419E99349A9B2457E48408773507A4AD9E622D9B8E66C5B9
Blood Omen 2	GameCube	NTSC	English		Release	dv06		4842304	BloodOmen2BigFileGameCube	55B900AE91313D5D9098E98A5FBD452C0D8048BC773485A38D3D53105D48ECBB
Blood Omen 2	GameCube	NTSC	English		Release	dv07		4682272	BloodOmen2BigFileGameCube	9B649A3D5550867D1EF8C9D0626397A0AE504A96996648AC8EB40611DB3A0851
Blood Omen 2	GameCube	NTSC	English		Release	dv08		4723008	BloodOmen2BigFileGameCube	D1CD8198C994991C55DE7C8CA39A6F30700BE6126A7D6757136E0C678E41C6C7
Blood Omen 2	GameCube	NTSC	English		Release	dv09		5255264	BloodOmen2BigFileGameCube	BC271D4E723D161F3471D61494661B593036D1763520BCD3EC5590C0BC3063AB
Blood Omen 2	GameCube	NTSC	English		Release	dv10		2546720	BloodOmen2BigFileGameCube	B7D53C8C04110D2C7AC8739BE896793FAAF24DBCEB732EBC42D9C6D953D27CFA
Blood Omen 2	GameCube	NTSC	English		Release	ep_fakeisle		236800	BloodOmen2BigFileGameCube	18C11B1D793AE12820AA909C6692C34302253BB482B5B88D85C86BDADEE27370
Blood Omen 2	GameCube	NTSC	English		Release	ep_music		440896	BloodOmen2BigFileGameCube	B3C03E2439F5C321EEC9B7F1733608AB253A48024CE6FFC11D3DF677394F5D82
Blood Omen 2	GameCube	NTSC	English		Release	ep01		3905760	BloodOmen2BigFileGameCube	59AD802292B125B9A47749710ECD0CF15E8EC08493B42A546B280B0EF131D91F
Blood Omen 2	GameCube	NTSC	English		Release	ep02		5002240	BloodOmen2BigFileGameCube	8999AA1DABB50535CC6BC36BAAE9902650C3E247C098A70AF0213C952B2BF6D9
Blood Omen 2	GameCube	NTSC	English		Release	ep04		2536480	BloodOmen2BigFileGameCube	3A26C97D5F2EC68CB8BCD00FE31BCD4717C30C5B0604827453A32BB689CC8954
Blood Omen 2	GameCube	NTSC	English		Release	ep05		3096928	BloodOmen2BigFileGameCube	B2E96677F91F4D0FECBB9D49F439C5B34EF2A012994F84CBB677ADC4F9051499
Blood Omen 2	GameCube	NTSC	English		Release	ep06		4151136	BloodOmen2BigFileGameCube	B16425A9FCB5F4996133B3ED002054A7A94A59AF13BB043E35A70BDF353F2DB6
Blood Omen 2	GameCube	NTSC	English		Release	ep07		5208864	BloodOmen2BigFileGameCube	987A0F30FA2F00948CAB1DD0905C4F1848CB72BB0FA88783F53E803ECF4A9E46
Blood Omen 2	GameCube	NTSC	English		Release	ep08		4398688	BloodOmen2BigFileGameCube	DFBDFD5405EC062849A9BB71E3B51DF17B825CE9A60CEA49C857DDD3CA80C687
Blood Omen 2	GameCube	NTSC	English		Release	ep09		3853888	BloodOmen2BigFileGameCube	BCC2C876FA81910E49DF73D99CB9D83B43C4043B276F65186A0F9E435505962D
