176FC461	\akuji\game\psx\psx.arg
1B813033	\akuji\game\psx\bin\map.bin
1B8273DA	\akuji\game\psx\warning.tim
1C859839	\akuji\game\psx\bin\lava.bin
1C85F856	\akuji\game\psx\bin\rain.bin
1C8628E2	\akuji\game\psx\bin\glue.bin
1C86C92B	\akuji\game\psx\bin\boss.bin
1C86EA29	\akuji\game\psx\bin\city.bin
1D8A8EB9	\akuji\game\psx\bin\limbo.bin
1D8AADCE	\akuji\game\psx\bin\grave.bin
1D8B1E39	\akuji\game\psx\bin\wreck.bin
1D8B5D40	\akuji\game\psx\bin\movie.bin
1D8B7E55	\akuji\game\psx\bin\title.bin
1D8B8E93	\akuji\game\psx\bin\trees.bin
1D8BDF0E	\akuji\game\psx\bin\swamp.bin
1D8C1E70	\akuji\game\psx\bin\intro.bin
1D8C6CB1	\akuji\game\psx\bin\ruins.bin
1E8BB8F1	\akuji\level\map\map1\map1.dat
1E8C5628	\akuji\level\map\map1\map1.drm
1E8C76B8	\akuji\level\map\map1\map1.snd
1E8D28F8	\akuji\level\map\map1\map1.smp
1E8D592B	\akuji\level\map\map1\map1.vmp
1E8D7816	\akuji\level\map\map1\map1.vrm
1E8FA854	\akuji\game\psx\bin\jungle.bin
1E8FC927	\akuji\game\psx\bin\temple.bin
2198F814	\akuji\level\lava\lava2\lava2.dat
21999505	\akuji\level\lava\lava2\lava2.drm
2199BAFB	\akuji\level\lava\lava2\lava2.snd
2199FF05	\akuji\level\rain\rain1\rain1.dat
219A685A	\akuji\level\lava\lava2\lava2.smp
219A8F14	\akuji\level\glue\glue1\glue1.dat
219A9214	\akuji\level\rain\rain1\rain1.drm
219A9BF4	\akuji\level\lava\lava2\lava2.vmp
219AAF4A	\akuji\level\glue\glue2\glue2.dat
219AB8E9	\akuji\level\lava\lava2\lava2.vrm
219ABDEA	\akuji\level\rain\rain1\rain1.snd
219ACF88	\akuji\level\glue\glue3\glue3.dat
219AEFB6	\akuji\level\glue\glue4\glue4.dat
219B0F3C	\akuji\level\glue\glue5\glue5.dat
219B2205	\akuji\level\glue\glue1\glue1.drm
219B425B	\akuji\level\glue\glue2\glue2.drm
219B4DFB	\akuji\level\glue\glue1\glue1.snd
219B6299	\akuji\level\glue\glue3\glue3.drm
219B6DA5	\akuji\level\glue\glue2\glue2.snd
219B6F4B	\akuji\level\rain\rain1\rain1.smp
219B82A7	\akuji\level\glue\glue4\glue4.drm
219B8D67	\akuji\level\glue\glue3\glue3.snd
219B9CE5	\akuji\level\rain\rain1\rain1.vmp
219BA22D	\akuji\level\glue\glue5\glue5.drm
219BAD59	\akuji\level\glue\glue4\glue4.snd
219BBFF8	\akuji\level\rain\rain1\rain1.vrm
219BCDD3	\akuji\level\glue\glue5\glue5.snd
219BFF5A	\akuji\level\glue\glue1\glue1.smp
219C1F04	\akuji\level\glue\glue2\glue2.smp
219C2CF4	\akuji\level\glue\glue1\glue1.vmp
219C3FC6	\akuji\level\glue\glue3\glue3.smp
219C4CAA	\akuji\level\glue\glue2\glue2.vmp
219C4FE9	\akuji\level\glue\glue1\glue1.vrm
219C5FF8	\akuji\level\glue\glue4\glue4.smp
219C627D	\akuji\level\boss\boss1\boss1.dat
219C6C68	\akuji\level\glue\glue3\glue3.vmp
219C6FB7	\akuji\level\glue\glue2\glue2.vrm
219C7F72	\akuji\level\glue\glue5\glue5.smp
219C8223	\akuji\level\boss\boss2\boss2.dat
219C8C56	\akuji\level\glue\glue4\glue4.vmp
219C8F75	\akuji\level\glue\glue3\glue3.vrm
219CA2E1	\akuji\level\boss\boss3\boss3.dat
219CACDC	\akuji\level\glue\glue5\glue5.vmp
219CAF4B	\akuji\level\glue\glue4\glue4.vrm
219CC2DF	\akuji\level\boss\boss4\boss4.dat
219CCFC1	\akuji\level\glue\glue5\glue5.vrm
219CE543	\akuji\level\city\city2\city2.dat
219D0F6C	\akuji\level\boss\boss1\boss1.drm
219D2092	\akuji\level\boss\boss1\boss1.snd
219D2F32	\akuji\level\boss\boss2\boss2.drm
219D40CC	\akuji\level\boss\boss2\boss2.snd
219D4FF0	\akuji\level\boss\boss3\boss3.drm
219D600E	\akuji\level\boss\boss3\boss3.snd
219D6FCE	\akuji\level\boss\boss4\boss4.drm
219D8030	\akuji\level\boss\boss4\boss4.snd
219D8852	\akuji\level\city\city2\city2.drm
219DA7AC	\akuji\level\city\city2\city2.snd
219DD233	\akuji\level\boss\boss1\boss1.smp
219DF26D	\akuji\level\boss\boss2\boss2.smp
